NU_INSCRICAO,NU_NOTA_MT
73ff9fcc02f0a99919906c942c2e1a1042cdcf98,451.0725016593933
71a95f9f1b91a82c65ad94abbdf9f54e6066f968,431.0970788002014
b38a03232f43b11c9d0788abaf060f7366053b6d,580.276134967804
70b682d9a3636be23f6120fa9d6b164eb3c6002d,-3274165187162.076
715494628a50142ce8cb17191cfe6d0f3cae0934,545.7876925468445
e656d6bad65c93fb2880f1eba5037008c8e75774,483.58315992355347
465cd2a6907fb37d9d8ad3c065f0e2dabdba9b13,555.5047450065613
11539e86171bf07d3a36f09377d7f54ebcc8406a,415.7759747505188
043c544a2104aa8a9849f1a703a08d37a2f16839,459.859423160553
76ba050e64ad100b856f0eaabd8f539d5c7dd185,467.61766386032104
8b7c167ea7b55c8168ec60c3851b1b598a8fbd11,-3274165187164.62
db4da599aab5bb08dce27094a35fd3e36cd0abce,-3274165187160.7476
940aede382ccb332fab15d413217695ec44ca765,458.0864291191101
9ad714b116da76d878dd399d187fccc2dd13dd63,579.1661448478699
dd34464a4d780b12a089347ad580418ac57a3055,524.5641589164734
f837a4cb05a5fd59d20138182f5e8c721eadd584,500.1076731681824
fbfa8cde21a692b51fb86342110b4a334a0fcfdb,-3274165187151.826
ca8477c8493b09f34d17bb287f9bacf2dd744c32,-3274165187161.237
8b0c675d7fde14953668269d378c588f0df0498b,-3274165187157.797
051c4f04fcbe385e1b3964aeb87f0a41d7f203d0,367.6518511772156
3d203727f27abd83b71732d88d8cb1cc099f363b,440.6708941459656
d30d31c8ff45094e9a992c63d4a6f68b245a341a,-3274165187075.591
c0c6a803c271a955a7085a59cd3d4d43bcf7a1a6,-3274165187174.578
cbc301183dec912f3513ca766bf03dd565f3a38f,484.9886965751648
856aa14bcd11bd289a3b970aab0ce1b166f2c50f,585.1297297477722
11282da1ee78c8db45a041db4c744e33df489df0,428.55229139328003
03c67f683a415c2ea09b582248bd4cb08528c19d,574.3313584327698
046e844fb06a07ba30b41521f0065a8d9c6e5024,384.821147441864
b296bc595a212a2f89a35470a4bdbb3bfc3f7f1a,436.26477670669556
153eebe4d270fe850d2ede7f53cbc81a6f4ddf91,-3274165187128.787
a4e821c6f16fdae0a26cbbb7018b75812dfd074b,-3274165187196.1104
f66c2e5ff22a95fa532e78c7c4bf1d145247211d,442.416307926178
17f0dd5abd53dea135ffd020e8e8e0761b3a56aa,577.1030640602112
fbbd23fcfb37cf90b8c1f58eafcab62771f3cd71,490.60761976242065
a99286ac4fdce6f63b59569b2d8ed85a5c911ea3,535.8307671546936
f8d4f9a26c5f2023c33701a8888f9c02513a02c7,482.79124307632446
9785b7d9ca2e8dccfe60ecc0cd2abe1ff51906be,471.4783396720886
59bfa081e020013410d9f60f91813964ba749bb2,444.3281741142273
f5e069ee3bc95998464e8ff5da048b7f999921ed,416.66477155685425
e02240b518016d03a1b5bcc6d0a37b7a527ea93d,569.8975682258606
664f44258212a1f7e4086f2b4845d586c543fa3f,490.8394274711609
265cd7befa74a9f2a198fc57baec9858075f8419,455.17935514450073
6f9ac44919bbd204e0ef15185388fd2d4bc61253,521.6864056587219
78de1ee60b55766cc3eba4089e36c57139b66ebd,463.07062101364136
24550edb10f283ef4e953fd6a8fedbfa211bd456,-3274165187179.413
1e61a474acdc043eb39a89c17fab34bd2ea1a940,439.4386715888977
940af68ded6af2875708611051aa7ff3f134d80b,513.9886918067932
e7ec3258f3b280c1ddf452d107fbdc9fb5a6b72e,489.8881678581238
c76ddf6e9f80984e901b12f9462a3cf029bea290,530.8728308677673
7d39df837488ca3fa6e512fd9e20ec7753b4c36d,444.454936504364
65bba36aa15f0c4ef3562ea56c125d931bc4ed63,-3274165187102.3477
1045c54b5ea9f6e08454ec57c47e4ce0e33190bd,-3274165187156.37
92823d467a2ced9529801e0e8a94802dd88f0c17,425.2413182258606
9d0fbf9bf1bb039de65a6d0e143c9a791c62b941,602.48832654953
413cbb38b2e2522f8167ffb9daeac1347b281393,502.31126737594604
68985fad004092956a4b4ce94dd53dc76d07eaf7,510.12419843673706
bdca9aeb19521675af15f2c28d86f6bebc45a834,486.30305337905884
b65b19d42b7a4b644fe9f99366dcb37b120862d9,399.689857006073
eda898aa8ec465cbac70de72ead0c6d688e5f95a,448.48218965530396
